Time,Source Language,Target Language,Original Text,Translated Text
2024-05-27 13:18:30,auto,fr,"Élévation
Charles Baudelaire

Au-dessus des étangs, au-dessus des vallées,
Des montagnes, des bois, des nuages, des mers,
Par delà le soleil, par delà les éthers,
Par delà les confins des sphères étoilées,

Mon esprit, tu te meus avec agilité,
Et, comme un bon nageur qui se pâme dans l’onde,
Tu sillonnes gaiement l’immensité profonde
Avec une indicible et mâle volupté.

Envole-toi bien loin de ces miasmes morbides ;
Va te purifier dans l’air supérieur,
Et bois, comme une pure et divine liqueur,
Le feu clair qui remplit les espaces limpides.

Derrière les ennuis et les vastes chagrins
Qui chargent de leur poids l’existence brumeuse,
Heureux celui qui peut d’une aile vigoureuse
S’élancer vers les champs lumineux et sereins ;

Celui dont les pensers, comme des alouettes,
Vers les cieux le matin prennent un libre essor,
– Qui plane sur la vie, et comprend sans effort
Le langage des fleurs et des choses muettes !

Charles Baudelaire, Les fleurs du mal","Élévation
Charles Baudelaire

Au-dessus des étangs, au-dessus des vallées,
Des montagnes, des bois, des nuages, des mers,
Par delà le soleil, par delà les éthers,
Par delà les confins des sphères étoilées,

Mon esprit, tu te meus avec agilité,
Et, comme un bon nageur qui se pâme dans l’onde,
Tu sillonnes gaiement l’immensité profonde
Avec une indicible et mâle volupté.

Envole-toi bien loin de ces miasmes morbides ;
Va te purifier dans l’air supérieur,
Et bois, comme une pure et divine liqueur,
Le feu clair qui remplit les espaces limpides.

Derrière les ennuis et les vastes chagrins
Qui chargent de leur poids l’existence brumeuse,
Heureux celui qui peut d’une aile vigoureuse
S’élancer vers les champs lumineux et sereins ;

Celui dont les pensers, comme des alouettes,
Vers les cieux le matin prennent un libre essor,
– Qui plane sur la vie, et comprend sans effort
Le langage des fleurs et des choses muettes !

Charles Baudelaire, Les fleurs du mal"
2024-05-27 13:18:33,auto,en,"Élévation
Charles Baudelaire

Au-dessus des étangs, au-dessus des vallées,
Des montagnes, des bois, des nuages, des mers,
Par delà le soleil, par delà les éthers,
Par delà les confins des sphères étoilées,

Mon esprit, tu te meus avec agilité,
Et, comme un bon nageur qui se pâme dans l’onde,
Tu sillonnes gaiement l’immensité profonde
Avec une indicible et mâle volupté.

Envole-toi bien loin de ces miasmes morbides ;
Va te purifier dans l’air supérieur,
Et bois, comme une pure et divine liqueur,
Le feu clair qui remplit les espaces limpides.

Derrière les ennuis et les vastes chagrins
Qui chargent de leur poids l’existence brumeuse,
Heureux celui qui peut d’une aile vigoureuse
S’élancer vers les champs lumineux et sereins ;

Celui dont les pensers, comme des alouettes,
Vers les cieux le matin prennent un libre essor,
– Qui plane sur la vie, et comprend sans effort
Le langage des fleurs et des choses muettes !

Charles Baudelaire, Les fleurs du mal","Elevation
Charles Baudelaire

Above the ponds, above the valleys,
Mountains, wood, clouds, seas,
Beyond the sun, beyond ethers,
Beyond the borders of starred spheres,

My mind, you got off with agility,
And, like a good swimmer who is fading in the wave,
You cheerfully cross the deep immensity
With an unspeakable and voluptuous male.

Fly far from these morbid miasmas;
Will purify yourself in the higher air,
And wood, like a pure and divine liquor,
Clear fire which fills the limpid spaces.

Behind the troubles and the vast sorrows
Who load the misty existence of their weight,
Happy the one who can of a vigorous wing
Start towards the bright and serene fields;

The one whose thinking, like larks,
Towards the heavens in the morning take off,
- which hovers on life, and understands effortlessly
The language of flowers and silent things!

Charles Baudelaire, the flowers of evil"
2024-05-27 13:18:40,auto,es,"Élévation
Charles Baudelaire

Au-dessus des étangs, au-dessus des vallées,
Des montagnes, des bois, des nuages, des mers,
Par delà le soleil, par delà les éthers,
Par delà les confins des sphères étoilées,

Mon esprit, tu te meus avec agilité,
Et, comme un bon nageur qui se pâme dans l’onde,
Tu sillonnes gaiement l’immensité profonde
Avec une indicible et mâle volupté.

Envole-toi bien loin de ces miasmes morbides ;
Va te purifier dans l’air supérieur,
Et bois, comme une pure et divine liqueur,
Le feu clair qui remplit les espaces limpides.

Derrière les ennuis et les vastes chagrins
Qui chargent de leur poids l’existence brumeuse,
Heureux celui qui peut d’une aile vigoureuse
S’élancer vers les champs lumineux et sereins ;

Celui dont les pensers, comme des alouettes,
Vers les cieux le matin prennent un libre essor,
– Qui plane sur la vie, et comprend sans effort
Le langage des fleurs et des choses muettes !

Charles Baudelaire, Les fleurs du mal","Elevación
Charles Baudelaire

Sobre los estanques, sobre los valles,
Montañas, madera, nubes, mares,
Más allá del sol, más allá de los éteres,
Más allá de las fronteras de las esferas estrellas,

Mi mente, te bajaste con agilidad,
Y, como un buen nadador que se está desvaneciendo en la ola,
Cruzas alegremente la inmensidad profunda
Con un hombre indescriptible y voluptuoso.

Volar lejos de estos Miasmas mórbidos;
Se purificará en el aire más alto,
Y madera, como un licor puro y divino,
Fuego claro que llena los espacios límpidos.

Detrás de los problemas y las vastas penas
Que cargan la brumosa existencia de su peso,
Feliz el que puede de un ala vigorosa
Comience hacia los campos brillantes y serenos;

El que pensaba, como las alondras,
Hacia los cielos por la mañana despegue,
- que se cierne en la vida y entiende sin esfuerzo
¡El lenguaje de las flores y las cosas silenciosas!

Charles Baudelaire, las flores del mal"
2024-05-27 13:18:44,auto,pt,"Élévation
Charles Baudelaire

Au-dessus des étangs, au-dessus des vallées,
Des montagnes, des bois, des nuages, des mers,
Par delà le soleil, par delà les éthers,
Par delà les confins des sphères étoilées,

Mon esprit, tu te meus avec agilité,
Et, comme un bon nageur qui se pâme dans l’onde,
Tu sillonnes gaiement l’immensité profonde
Avec une indicible et mâle volupté.

Envole-toi bien loin de ces miasmes morbides ;
Va te purifier dans l’air supérieur,
Et bois, comme une pure et divine liqueur,
Le feu clair qui remplit les espaces limpides.

Derrière les ennuis et les vastes chagrins
Qui chargent de leur poids l’existence brumeuse,
Heureux celui qui peut d’une aile vigoureuse
S’élancer vers les champs lumineux et sereins ;

Celui dont les pensers, comme des alouettes,
Vers les cieux le matin prennent un libre essor,
– Qui plane sur la vie, et comprend sans effort
Le langage des fleurs et des choses muettes !

Charles Baudelaire, Les fleurs du mal","Elevação
Charles Baudelaire

Acima das lagoas, acima dos vales,
Montanhas, madeira, nuvens, mares,
Além do sol, além dos éteres,
Além das fronteiras de esferas estreladas,

Minha mente, você saiu com agilidade,
E, como um bom nadador que está desaparecendo na onda,
Você atravessa alegremente a profunda imensidão
Com um macho indizível e voluptuoso.

Voe para longe desses miasmas mórbidos;
Vai se purificar no ar mais alto,
E madeira, como um licor puro e divino,
Fogo claro que preenche os espaços límpidos.

Por trás dos problemas e as vastas tristezas
Quem carrega a existência enevoada de seu peso,
Feliz o que pode de uma asa vigorosa
Comece em direção aos campos brilhantes e serenos;

Aquele cujo pensamento, como cotovias,
Em direção aos céus da manhã decolando,
- que paira na vida e entende sem esforço
A linguagem das flores e coisas silenciosas!

Charles Baudelaire, as flores do mal"
2024-05-27 13:18:48,auto,ar,"Élévation
Charles Baudelaire

Au-dessus des étangs, au-dessus des vallées,
Des montagnes, des bois, des nuages, des mers,
Par delà le soleil, par delà les éthers,
Par delà les confins des sphères étoilées,

Mon esprit, tu te meus avec agilité,
Et, comme un bon nageur qui se pâme dans l’onde,
Tu sillonnes gaiement l’immensité profonde
Avec une indicible et mâle volupté.

Envole-toi bien loin de ces miasmes morbides ;
Va te purifier dans l’air supérieur,
Et bois, comme une pure et divine liqueur,
Le feu clair qui remplit les espaces limpides.

Derrière les ennuis et les vastes chagrins
Qui chargent de leur poids l’existence brumeuse,
Heureux celui qui peut d’une aile vigoureuse
S’élancer vers les champs lumineux et sereins ;

Celui dont les pensers, comme des alouettes,
Vers les cieux le matin prennent un libre essor,
– Qui plane sur la vie, et comprend sans effort
Le langage des fleurs et des choses muettes !

Charles Baudelaire, Les fleurs du mal","ارتفاع
تشارلز بودلير

فوق الأحواض ، فوق الوديان ،
الجبال ، الخشب ، السحب ، البحار ،
ما وراء الشمس ، ما وراء الإيثرات ،
ما وراء حدود المجالات ذات البطولة ،

عقلي ، لقد خرجت مع الرشاقة ،
ومثل السباح الجيد الذي يتلاشى في الموجة ،
أنت تعبر ببهجة الضخمة العميقة
مع ذكر لا يوصف وحسي.

يطير بعيدا عن هذه miasmas المهووبية.
سوف تطهير نفسك في الهواء العالي ،
والخشب ، مثل الخمور النقي والإلهي ،
حريق واضح الذي يملأ المساحات المحفوظة.

وراء المشاكل والأحزان الشاسعة
الذين يقومون بتحميل الوجود الضبابي لوزنهم ،
سعيد الشخص الذي يمكنه من جناح قوي
ابدأ نحو الحقول المشرقة والهادئة ؛

الشخص الذي تفكيره ، مثل لاركس ،
نحو السماء في الصباح تقلع ،
- الذي يحوم على الحياة ، ويفهم دون عناء
لغة الزهور والأشياء الصامتة!

تشارلز بودلير ، زهور الشر"
2024-05-27 13:24:06,auto,fr,bonjours je suis français,bonjours je suis français
2024-05-27 13:24:10,auto,binary,bonjours je suis français,01100010 01101111 01101110 01101010 01101111 01110101 01110010 01110011 00100000 01101010 01100101 00100000 01110011 01110101 01101001 01110011 00100000 01100110 01110010 01100001 01101110 11100111 01100001 01101001 01110011
2024-05-27 13:24:16,auto,fr,01100010 01101111 01101110 01101010 01101111 01110101 01110010 01110011 00100000 01101010 01100101 00100000 01110011 01110101 01101001 01110011 00100000 01100110 01110010 01100001 01101110 11100111 01100001 01101001 01110011,bonjours je suis français
2024-05-27 13:24:19,binary,fr,01100010 01101111 01101110 01101010 01101111 01110101 01110010 01110011 00100000 01101010 01100101 00100000 01110011 01110101 01101001 01110011 00100000 01100110 01110010 01100001 01101110 11100111 01100001 01101001 01110011,bonjours je suis français
2024-05-27 13:24:26,binary,de,01100010 01101111 01101110 01101010 01101111 01110101 01110010 01110011 00100000 01101010 01100101 00100000 01110011 01110101 01101001 01110011 00100000 01100110 01110010 01100001 01101110 11100111 01100001 01101001 01110011,"Hallo, ich bin Französisch"
